1 - Code=110550, Full Code=KR7110550001, Company=HIT 골드(폐지)
1 - Code=018590, Full Code=KR7018590000, Company=KNC(폐지)
1 - Code=241180, Full Code=KR7241180009, Company=TIGER 일본니케이225
1 - Code=008720, Full Code=KR7008720005, Company=삼양엔텍(폐지)
1 - Code=000090, Full Code=KR7000090001, Company=두산상사(폐지)
1 - Code=005117, Full Code=KR7005110127, Company=한창전2(폐지)
1 - Code=005114, Full Code=KR7005110119, Company=한창전1(폐지)
1 - Code=001300, Full Code=KR7001300003, Company=제일모직(폐지)
1 - Code=005110, Full Code=KR7005110002, Company=한창
1 - Code=018260, Full Code=KR7018260000, Company=삼성에스디에스
1 - Code=261920, Full Code=KR7261920003, Company=KINDEX 필리핀MSCI(합성)
1 - Code=030000, Full Code=KR7030000004, Company=제일기획
1 - Code=010130, Full Code=KR7010130003, Company=고려아연
1 - Code=051915, Full Code=KR7051911006, Company=LG화학우
1 - Code=051910, Full Code=KR7051910008, Company=LG화학
1 - Code=009830, Full Code=KR7009830001, Company=한화케미칼
1 - Code=009831, Full Code=KR7009830019, Company=한화종화1(폐지)
1 - Code=012601, Full Code=KR7012600011, Company=청호컴퓨1(폐지)
1 - Code=012600, Full Code=KR7012600003, Company=청호컴넷
1 - Code=009835, Full Code=KR7009831009, Company=한화케미칼우
1 - Code=071840, Full Code=KR7071840003, Company=롯데하이마트
1 - Code=009837, Full Code=KR7009832007, Company=한화석화2우B(폐지)
1 - Code=011390, Full Code=KR7011390002, Company=부산산업
1 - Code=005680, Full Code=KR7005680004, Company=삼영전자
1 - Code=057050, Full Code=KR7057050007, Company=현대홈쇼핑
1 - Code=114470, Full Code=KR7114470008, Company=KOSEF 국고채
1 - Code=103140, Full Code=KR7103140000, Company=풍산
1 - Code=227830, Full Code=KR7227830007, Company=ARIRANG 코스피
1 - Code=009580, Full Code=KR7009580002, Company=무림P&P;
1 - Code=005750, Full Code=KR7005750005, Company=대림B&Co;
1 - Code=034120, Full Code=KR7034120006, Company=SBS
1 - Code=004370, Full Code=KR7004370003, Company=농심
1 - Code=083350, Full Code=KR7083350009, Company=동북아10호
1 - Code=004150, Full Code=KR7004150009, Company=한솔홀딩스
1 - Code=004151, Full Code=KR7004150017, Company=한솔제지1(폐지)
1 - Code=004155, Full Code=KR7004151007, Company=한솔제지우(폐지)
1 - Code=152550, Full Code=KR7152550000, Company=한국ANKOR유전
1 - Code=003680, Full Code=KR7003680006, Company=한성기업
1 - Code=011170, Full Code=KR7011170008, Company=롯데케미칼
1 - Code=014430, Full Code=KR7014430003, Company=한길종금(폐지)
1 - Code=008721, Full Code=KR7008720013, Company=삼양중기1(폐지)
1 - Code=004970, Full Code=KR7004970000, Company=신라교역
1 - Code=J01120, Full Code=KRA011202157, Company=15)현대상선 1WR
1 - Code=004080, Full Code=KR7004080008, Company=신흥
1 - Code=008500, Full Code=KR7008500001, Company=일정실업
1 - Code=089590, Full Code=KR7089590004, Company=제주항공
1 - Code=010950, Full Code=KR7010950004, Company=S-Oil
1 - Code=010955, Full Code=KR7010951002, Company=S-Oil우
1 - Code=101380, Full Code=KR7101380004, Company=거북선2호(폐지)
1 - Code=139480, Full Code=KR7139480008, Company=이마트
1 - Code=009050, Full Code=KR7009050006, Company=대한알미늄(폐지)
1 - Code=088510, Full Code=KR7088510003, Company=굿리치경매2(폐지)
1 - Code=012805, Full Code=KR7012801007, Company=대창우(폐지)
1 - Code=J00455, Full Code=KRA0045521W8, Company=1W)대우차판매 2WR
1 - Code=012800, Full Code=KR7012800009, Company=대창
1 - Code=013820, Full Code=KR7013820006, Company=피앤텍(폐지)
1 - Code=018500, Full Code=KR7018500009, Company=동원금속
1 - Code=007070, Full Code=KR7007070006, Company=GS리테일
1 - Code=007980, Full Code=KRA007980139, Company=태평양물산 12R(폐지)
1 - Code=007981, Full Code=KR7007980014, Company=태평양물1(폐지)
1 - Code=244660, Full Code=KR7244660007, Company=KODEX 퀄리티Plus
1 - Code=089200, Full Code=KR7089200000, Company=동북아30호(폐지)
1 - Code=005111, Full Code=KR7005110010, Company=한 창 1(폐지)
1 - Code=002935, Full Code=KR7002931004, Company=삼도물산우(폐지)
1 - Code=002930, Full Code=KR7002930006, Company=삼도물산(폐지)
1 - Code=058850, Full Code=KR7058850009, Company=KTcs
1 - Code=004720, Full Code=KRA004720124, Company=우리들제약 29R(폐지)
1 - Code=003350, Full Code=KR7003350006, Company=한국화장품제조
1 - Code=002030, Full Code=KR7002030005, Company=아세아
1 - Code=004920, Full Code=KR7004920005, Company=씨아이테크
1 - Code=008870, Full Code=KR7008870008, Company=금비
1 - Code=133690, Full Code=KR7133690008, Company=TIGER 나스닥100
1 - Code=003220, Full Code=KR7003220001, Company=대원제약
1 - Code=530030, Full Code=KRG531100300, Company=삼성 K200 Call 1803-01 ETN
1 - Code=520018, Full Code=KRG521100187, Company=미래에셋 K200 P-SP 1803-01 ETN
1 - Code=520019, Full Code=KRG521100195, Company=미래에셋 K200 P-SP 1803-02 ETN
1 - Code=520014, Full Code=KRG521100146, Company=미래에셋 미디어엔터 Core5 ETN
1 - Code=520015, Full Code=KRG521100153, Company=미래에셋 인버스 미디어엔터 Core5 ETN
1 - Code=520016, Full Code=KRG521100161, Company=미래에셋 K200 C-SP 1803-01 ETN
1 - Code=520017, Full Code=KRG521100179, Company=미래에셋 K200 C-SP 1803-02 ETN
1 - Code=520010, Full Code=KRG522100103, Company=미래에셋 원유선물혼합 ETN(H)
1 - Code=520011, Full Code=KRG522100111, Company=미래에셋 인버스 원유선물혼합 ETN(H)
1 - Code=520012, Full Code=KRG527100124, Company=미래에셋 호주 ASX200 ETN(H)
1 - Code=520013, Full Code=KRG521100138, Company=미래에셋 Q150 Core5 ETN
1 - Code=138040, Full Code=KR7138040001, Company=메리츠금융지주
1 - Code=260270, Full Code=KR7260270004, Company=KOSEF 저PBR가중
1 - Code=012150, Full Code=KR7012150009, Company=동방개발(폐지)
1 - Code=008985, Full Code=KR7008981003, Company=동양현대종금우(폐지)
1 - Code=003530, Full Code=KRA003530169, Company=한화투자증권 23R(폐지)
1 - Code=079660, Full Code=KR7079660007, Company=사조해표
1 - Code=008980, Full Code=KR7008980005, Company=동양현대종금(폐지)
1 - Code=093820, Full Code=KR7093820009, Company=한국유전15-1(폐지)
1 - Code=167860, Full Code=KR7167860006, Company=KOSEF 10년국고채 레버리지
1 - Code=002310, Full Code=KR7002310001, Company=아세아제지
1 - Code=217780, Full Code=KR7217780006, Company=TIGER 차이나A인버스(합성)
1 - Code=002311, Full Code=KR7002310019, Company=아세아제지1(폐지)
1 - Code=007690, Full Code=KR7007690001, Company=국도화학
1 - Code=190150, Full Code=KR7190150003, Company=ARIRANG 바벨 채권
1 - Code=002240, Full Code=KR7002240000, Company=고려제강
1 - Code=024870, Full Code=KR7024870008, Company=유성티에스아이(폐지)
1 - Code=J11793, Full Code=KRA117932137, Company=13)한진해운 1WR
1 - Code=090430, Full Code=KR7090430000, Company=아모레퍼시픽
1 - Code=006610, Full Code=KR7006610000, Company=경남은행(폐지)
1 - Code=016070, Full Code=KR7016070005, Company=동성반도체(폐지)
1 - Code=021820, Full Code=KR7021820006, Company=세원정공
1 - Code=001040, Full Code=KR7001040005, Company=CJ
1 - Code=001045, Full Code=KR7001041003, Company=CJ우
1 - Code=099140, Full Code=KR7099140006, Company=KODEX China H
1 - Code=001047, Full Code=KR7001042001, Company=CJ2우B(폐지)
1 - Code=001049, Full Code=KR7001043009, Company=CJ3우B(폐지)
1 - Code=021310, Full Code=KR7021310008, Company=동화은행(폐지)
1 - Code=001680, Full Code=KR7001680008, Company=대상
1 - Code=001687, Full Code=KR7001682004, Company=대상2우B(폐지)
1 - Code=001685, Full Code=KR7001681006, Company=대상우
1 - Code=002790, Full Code=KR7002790004, Company=아모레G
1 - Code=123700, Full Code=KR7123700007, Company=SJM
1 - Code=001689, Full Code=KR7001683002, Company=대상3우B
1 - Code=002795, Full Code=KR7002791002, Company=아모레G우
1 - Code=002797, Full Code=KR7002792000, Company=아모레G2우B(폐지)
1 - Code=016380, Full Code=KRA0163802W8, Company=동부제철 39R(폐지)
1 - Code=016385, Full Code=KR7016381006, Company=동부제철우
1 - Code=013040, Full Code=KR7013040001, Company=금강피혁(폐지)
1 - Code=013041, Full Code=KR7013040019, Company=금강피혁1(폐지)
1 - Code=157490, Full Code=KR7157490004, Company=TIGER 소프트웨어
1 - Code=108480, Full Code=KR7108480005, Company=KStar 코스닥엘리트30(폐지)
1 - Code=226490, Full Code=KR7226490001, Company=KODEX 코스피
1 - Code=017810, Full Code=KR7017810003, Company=풀무원
1 - Code=000400, Full Code=KRA000400150, Company=롯데손해보험 31R(폐지)
1 - Code=214390, Full Code=KR7214390007, Company=경보제약
1 - Code=006320, Full Code=KR7006320006, Company=경기은행(폐지)
1 - Code=001465, Full Code=KR7001461003, Company=BYC우
1 - Code=001460, Full Code=KR7001460005, Company=BYC
1 - Code=570008, Full Code=KRG571100087, Company=TRUE 섹터탑픽 ETN
1 - Code=570009, Full Code=KRG571100095, Company=TRUE 코리아프리미어 ETN
1 - Code=570006, Full Code=KRG577100065, Company=TRUE 인버스 차이나H ETN(H)
1 - Code=570007, Full Code=KRG576200072, Company=TRUE 위안화 중국5년국채 ETN
1 - Code=570004, Full Code=KRG574100043, Company=TRUE 인버스 유로스탁스50 ETN(H)
1 - Code=570005, Full Code=KRG571100053, Company=TRUE 목표변동성20 코스피선물 ETN
1 - Code=570002, Full Code=KRG571100020, Company=TRUE 코스피 선물매도 풋매도 ETN
1 - Code=069550, Full Code=KR7069550002, Company=KOSEF50(폐지)
1 - Code=103150, Full Code=KR7103150009, Company=하이트맥주(폐지)
1 - Code=570001, Full Code=KRG571100012, Company=TRUE 코스피 선물매수 콜매도 ETN
1 - Code=020150, Full Code=KR7020150009, Company=일진머티리얼즈
1 - Code=183710, Full Code=KR7183710003, Company=KBSTAR 주식혼합
1 - Code=082110, Full Code=KR7082110008, Company=동북아8호(폐지)
1 - Code=263190, Full Code=KR7263190001, Company=ARIRANG 우량단기채권
1 - Code=256750, Full Code=KR7256750001, Company=KODEX 심천ChiNext(합성)
1 - Code=114260, Full Code=KR7114260003, Company=KODEX 국고채
1 - Code=000317, Full Code=KR7000312009, Company=해태제과2우B(폐지)
1 - Code=071320, Full Code=KR7071320006, Company=지역난방공사
1 - Code=000310, Full Code=KR7000310003, Company=해태제과(폐지)
1 - Code=030720, Full Code=KR7030720007, Company=동원수산
1 - Code=030721, Full Code=KR7030720015, Company=동원수산1(폐지)
1 - Code=234080, Full Code=KR7234080000, Company=JW생명과학
1 - Code=001260, Full Code=KR7001260009, Company=남광토건
1 - Code=001265, Full Code=KR7001261007, Company=남광토건우B(폐지)
1 - Code=000790, Full Code=KR7000790006, Company=C&상선(폐지)
1 - Code=000791, Full Code=KR7000790014, Company=세양선박1(폐지)
1 - Code=000794, Full Code=KR7000790113, Company=세양선박전1(폐지)
1 - Code=003410, Full Code=KRA003410164, Company=쌍용양회공업 57R(폐지)
1 - Code=174350, Full Code=KR7174350009, Company=TIGER 로우볼
1 - Code=009337, Full Code=KR7009332008, Company=삼애인더스2우B(폐지)
1 - Code=145210, Full Code=KR7145210001, Company=세화아이엠씨
1 - Code=181480, Full Code=KR7181480005, Company=KINDEX 미국리츠부동산(합성 H)
1 - Code=005560, Full Code=KR7005560008, Company=JS전선(폐지)
1 - Code=005561, Full Code=KR7005560016, Company=진로인더1(폐지)
1 - Code=010090, Full Code=KR7010090009, Company=해태유통(폐지)
1 - Code=029532, Full Code=KR7029530029, Company=신도리코2(폐지)
1 - Code=029531, Full Code=KR7029530011, Company=신도리코1(폐지)
1 - Code=029530, Full Code=KR7029530003, Company=신도리코
1 - Code=014280, Full Code=KR7014280002, Company=금강공업
1 - Code=014285, Full Code=KR7014281000, Company=금강공업우
1 - Code=001310, Full Code=KR7001310002, Company=풍림산업(폐지)
1 - Code=000220, Full Code=KR7000220004, Company=유유제약
1 - Code=J01594, Full Code=KRA0159421Q5, Company=1Q)LG데이콤2WR(폐지)
1 - Code=003419, Full Code=KR7003413002, Company=쌍용양회3우B
1 - Code=010140, Full Code=KRA010140168, Company=삼성중공업 14R(폐지)
1 - Code=010141, Full Code=KR7010140010, Company=삼성중공1(폐지)
1 - Code=010145, Full Code=KR7010141000, Company=삼성중공우
1 - Code=051905, Full Code=KR7051901007, Company=LG생활건강우
1 - Code=051900, Full Code=KR7051900009, Company=LG생활건강
1 - Code=011540, Full Code=KR7011540002, Company=삼신(폐지)
1 - Code=086630, Full Code=KR7086630001, Company=KODEX KRX100(폐지)
1 - Code=005300, Full Code=KR7005300009, Company=롯데칠성
1 - Code=161510, Full Code=KR7161510003, Company=ARIRANG 고배당주
1 - Code=094280, Full Code=KR7094280005, Company=효성ITX
1 - Code=005305, Full Code=KR7005301007, Company=롯데칠성우
1 - Code=00341A, Full Code=KR7003414000, Company=쌍용양회4우B(폐지)
1 - Code=004367, Full Code=KR7004362000, Company=세방2우B(폐지)
1 - Code=004365, Full Code=KR7004361002, Company=세방우
1 - Code=000130, Full Code=KR7000130005, Company=한일은행(폐지)
1 - Code=004360, Full Code=KR7004360004, Company=세방
1 - Code=023151, Full Code=KR7023150014, Company=무학주정1(폐지)
1 - Code=023150, Full Code=KR7023150006, Company=MH에탄올
1 - Code=015730, Full Code=KR7015730005, Company=대우정밀(폐지)
1 - Code=015880, Full Code=KR7015880008, Company=태화쇼핑(폐지)
1 - Code=체, Full Code=, Company=
1 - Code=181710, Full Code=KRA181710153, Company=NHN엔터테인먼트 2R(폐지)
1 - Code=005760, Full Code=KR7005760004, Company=위너스인프라인(폐지)
1 - Code=035510, Full Code=KR7035510007, Company=신세계 I&C;
1 - Code=005945, Full Code=KR7005941000, Company=NH투자증권우
1 - Code=005940, Full Code=KRA005940119, Company=우리투자증권 59R(폐지)
1 - Code=031440, Full Code=KR7031440001, Company=신세계푸드
1 - Code=004149, Full Code=KR7004143004, Company=동방전환상환3우B(폐지)
1 - Code=005411, Full Code=KR7005410014, Company=신광산업1(폐지)
1 - Code=004147, Full Code=KR7004142006, Company=동방전환상환2우B(폐지)
1 - Code=004145, Full Code=KR7004141008, Company=동방전환상환1우B(폐지)
1 - Code=004410, Full Code=KR7004410007, Company=서울식품
1 - Code=004140, Full Code=KRA004140166, Company=동방 17R(폐지)
1 - Code=105380, Full Code=KR7105380000, Company=다산리츠(폐지)
1 - Code=261110, Full Code=KR7261110001, Company=TIGER 미국달러선물레버리지
1 - Code=010960, Full Code=KR7010960003, Company=삼호개발
1 - Code=004965, Full Code=KR7004961009, Company=한신공영우(폐지)
1 - Code=004960, Full Code=KR7004960001, Company=한신공영
1 - Code=011160, Full Code=KR7011160009, Company=두산건설
1 - Code=105010, Full Code=KR7105010003, Company=TIGER 라틴
1 - Code=082240, Full Code=KR7082240003, Company=아시아5호(폐지)
1 - Code=032390, Full Code=KR7032390007, Company=KTF(폐지)
1 - Code=008060, Full Code=KR7008060006, Company=대덕전자
1 - Code=036390, Full Code=KR7036390003, Company=대신불펀드일(폐지)
1 - Code=004560, Full Code=KR7004560009, Company=현대비앤지스틸
1 - Code=03473K, Full Code=KR703473K016, Company=SK우
1 - Code=052690, Full Code=KR7052690005, Company=한전기술
1 - Code=192090, Full Code=KR7192090009, Company=TIGER 차이나A300
1 - Code=008264, Full Code=KR7008260119, Company=동성철강전1(폐지)
1 - Code=015080, Full Code=KR7015080005, Company=청솔종금(폐지)
1 - Code=015081, Full Code=KR7015080013, Company=청솔종금1(폐지)
1 - Code=008260, Full Code=KR7008260002, Company=NI스틸
1 - Code=003780, Full Code=KRA003780137, Company=진양산업 32R(폐지)
1 - Code=015265, Full Code=KR7015261001, Company=큐엔텍코리아우(폐지)
1 - Code=121550, Full Code=KR7121550008, Company=코크렙15호(폐지)
1 - Code=015260, Full Code=KRA015260128, Company=에이엔피 31R(폐지)
1 - Code=008080, Full Code=KR7008080004, Company=에스와이코퍼레이션(폐지)
1 - Code=105630, Full Code=KR7105630008, Company=한세실업
1 - Code=011785, Full Code=KR7011781002, Company=금호석유우
1 - Code=003030, Full Code=KR7003030004, Company=세아제강
1 - Code=003031, Full Code=KR7003030012, Company=세아제강1(폐지)
1 - Code=149130, Full Code=KR7149130007, Company=케이비부국위탁리츠(폐지)
1 - Code=244670, Full Code=KR7244670006, Company=KODEX 밸류Plus
1 - Code=082740, Full Code=KR7082740002, Company=두산엔진
1 - Code=011761, Full Code=KR7011760014, Company=현대상사1(폐지)
1 - Code=004890, Full Code=KR7004890000, Company=동일산업
1 - Code=247780, Full Code=KR7247780000, Company=KODEX 가치투자
1 - Code=002920, Full Code=KR7002920007, Company=유성기업
1 - Code=003320, Full Code=KR7003320009, Company=신한증권(폐지)
1 - Code=104120, Full Code=KR7104120001, Company=신성에프에이(폐지)
1 - Code=210540, Full Code=KR7210540001, Company=디와이파워
1 - Code=008400, Full Code=KR7008400004, Company=C&중공업(폐지)
1 - Code=139230, Full Code=KR7139230007, Company=TIGER 200 중공업
1 - Code=008405, Full Code=KR7008401002, Company=C&중공업우(폐지)
1 - Code=002320, Full Code=KR7002320000, Company=한진
1 - Code=076850, Full Code=KR7076850007, Company=맥쿼리센트럴(폐지)
1 - Code=007200, Full Code=KR7007200009, Company=진흥저축은행(폐지)
1 - Code=077500, Full Code=KR7077500007, Company=유니퀘스트
1 - Code=J00080, Full Code=KRA000802116, Company=11)경남기업 1WR(폐지)
1 - Code=520009, Full Code=KRG522100095, Company=미래에셋 레버리지 원유선물혼합 ETN(H)
1 - Code=222170, Full Code=KR7222170003, Company=ARIRANG S&P; 배당성장
1 - Code=520003, Full Code=KRG527400037, Company=미래에셋 원자재 선물 ETN(H)
1 - Code=520002, Full Code=KRG527100025, Company=미래에셋 차이나 대표주 15 ETN(H)
1 - Code=520001, Full Code=KRG521100013, Company=미래에셋 로우볼 ETN
1 - Code=520007, Full Code=KRG521100070, Company=미래에셋 인버스 에너지화학 Core5 ETN
1 - Code=520006, Full Code=KRG521100062, Company=미래에셋 에너지화학 Core5 ETN
1 - Code=520005, Full Code=KRG521100054, Company=미래에셋 인버스 전기전자 Core5 ETN
1 - Code=520004, Full Code=KRG521100047, Company=미래에셋 전기전자 Core5 ETN
1 - Code=214320, Full Code=KR7214320004, Company=이노션
1 - Code=002810, Full Code=KR7002810000, Company=삼영무역
1 - Code=097710, Full Code=KR7097710008, Company=TIGER 가치주(폐지)
1 - Code=007660, Full Code=KR7007660004, Company=이수페타시스
1 - Code=228800, Full Code=KR7228800009, Company=TIGER 여행레저
1 - Code=265690, Full Code=KR7265690008, Company=KINDEX 러시아MSCI(합성)
1 - Code=051630, Full Code=KR7051630002, Company=진양화학
1 - Code=500022, Full Code=KRG502400226, Company=신한 인버스 천연가스 선물 ETN(H)
1 - Code=002255, Full Code=KR7002251007, Company=근화제약우(폐지)
1 - Code=002257, Full Code=KR7002252005, Company=근화제약2우B(폐지)
1 - Code=002250, Full Code=KR7002250009, Company=알보젠코리아
1 - Code=073530, Full Code=KR7073530008, Company=코크렙III(폐지)
1 - Code=081210, Full Code=KR7081210007, Company=아시아4호(폐지)
1 - Code=067830, Full Code=KR7067830000, Company=세이브존I&C;
1 - Code=025000, Full Code=KR7025000001, Company=KPX케미칼
1 - Code=134790, Full Code=KR7134790005, Company=팀스
1 - Code=002787, Full Code=KR7002782001, Company=진흥기업2우B
1 - Code=002785, Full Code=KR7002781003, Company=진흥기업우B
1 - Code=075580, Full Code=KR7075580001, Company=세진중공업
1 - Code=002780, Full Code=KR7002780005, Company=진흥기업
1 - Code=073240, Full Code=KR7073240004, Company=금호타이어
1 - Code=001070, Full Code=KR7001070002, Company=대한방직
1 - Code=016710, Full Code=KR7016710006, Company=대성홀딩스
1 - Code=002070, Full Code=KR7002070001, Company=남영비비안
1 - Code=037270, Full Code=KR7037270006, Company=YG PLUS
1 - Code=122390, Full Code=KR7122390008, Company=TIGER 코스닥프리미어(폐지)
1 - Code=001670, Full Code=KR7001670009, Company=경남모직(폐지)
1 - Code=016391, Full Code=KR7016390015, Company=나라종금1(폐지)
1 - Code=016390, Full Code=KR7016390007, Company=나라종금(폐지)
1 - Code=016395, Full Code=KR7016391005, Company=나라종금우B(폐지)
1 - Code=064900, Full Code=KR7064900004, Company=교보메리츠(폐지)
1 - Code=016397, Full Code=KR7016392003, Company=나라종금2우B(폐지)
1 - Code=091090, Full Code=KRA091090159, Company=세원셀론텍 7R(폐지)
1 - Code=021960, Full Code=KRA021960125, Company=우리파이낸셜 11R(폐지)
1 - Code=009460, Full Code=KR7009460007, Company=한창제지
